Name,Location,City,P.O Box,Phone,Mobile,Company Page Link,Logo URL
Moti Mahal Delux Restaurant,,Abu Dhabi,,02-6742121,,https://www.yellowpages-uae.com/uae/restaurant/moti-mahal-delux-restaurant-146540.html,
Moulay Youssef Restaurant,Jumeirah,Dubai,,04-3282285,,https://www.yellowpages-uae.com/uae/restaurant/moulay-youssef-restaurant-148310.html,
Moylos Burgers,"Near Sunset Mall, Jumeirah Beach Road",Dubai,,04-3883140,,https://www.yellowpages-uae.com/uae/restaurant/moylos-burgers-175555.html,
Mr Shawerma Restaurant,Abu Hail,Dubai,,04-2626900,055-4451171,https://www.yellowpages-uae.com/uae/restaurant/mr-shawerma-restaurant-175307.html,
Mubarak Salem Saeed Restaurant,Hor Al Anz,Dubai,11204,04-2667982,,https://www.yellowpages-uae.com/uae/restaurant/mubarak-salem-saeed-restaurant-116697.html,
Mugg & Bean,Abu Dhabi Mall,Abu Dhabi,,02-6454232,,https://www.yellowpages-uae.com/uae/restaurant/mugg-bean-145700.html,
Mughal Darbar Restaurant LLC,"Hamsah Building, Near Ansar Galler, Karama",Dubai,,04-3795677,,https://www.yellowpages-uae.com/uae/restaurant/mughal-darbar-restaurant-llc-175268.html,
Muhammad Faisal Restaurant,"Near Dnata Bldg, Port Saeed, Deira",Dubai,,04-2691900,055-4306993,https://www.yellowpages-uae.com/uae/restaurant/muhammad-faisal-restaurant-175253.html,
Mullapanthal Restaurant,"Hawthorn Suite Hotel, Tourist Club Area",Abu Dhabi,,055-8381867,055-1752299,https://www.yellowpages-uae.com/uae/restaurant/mullapanthal-restaurant-176437.html,
Multan Restaurant,"Damascus St, Al Qusais 3",Dubai,,04-2584033,,https://www.yellowpages-uae.com/uae/restaurant/multan-restaurant-146561.html,
Multi Food LLC,,Dubai,,04-4472800,,https://www.yellowpages-uae.com/uae/restaurant/multi-food-llc-175601.html,
Mumbai Masti Juice Center,"Opp Dubai Museum, Al Fahidi St, Bur Dubai",Dubai,123481,04-3867655,052-9859545,https://www.yellowpages-uae.com/uae/restaurant/mumbai-masti-juice-center-175238.html,
Mumtaz Mahal,Arabian Courtyard Hotel & SPA,Dubai,,04-3519111,,https://www.yellowpages-uae.com/uae/restaurant/mumtaz-mahal-175642.html,
Musalla Restaurant,"Lahej Khalifa Building, Opposite Karama Centre, Al Karama",Dubai,,04-3968030,04-3964928,https://www.yellowpages-uae.com/uae/restaurant/musalla-restaurant-175284.html,
Mussafah Sanahiya Restaurant,"M 14, Mussafah",Abu Dhabi,8605,02-5553390,,https://www.yellowpages-uae.com/uae/restaurant/mussafah-sanahiya-restaurant-129038.html,
My Falafel,"Shop 4, Al Waha Mosque, Dubai Silicon Oasis",Dubai,,04-3383790,050-5758920,https://www.yellowpages-uae.com/uae/restaurant/my-falafel-175336.html,
My Tea Cafeteria,"Behind Green House, Najda Street",Abu Dhabi,,02-6219989,056-8663302,https://www.yellowpages-uae.com/uae/restaurant/my-tea-cafeteria-175514.html,
Mythos,JLT,Dubai,,04-3998166,,https://www.yellowpages-uae.com/uae/restaurant/mythos-175768.html,
NA3NA3,"Dubai Mall, Al Doha St, Down Town Dubai",Dubai,,04-4329520,,https://www.yellowpages-uae.com/uae/restaurant/na3na3-67747.html,
Naadan Adukkala Restaurant,"Opp Aster, Khalid Bin Waleed Rd, Bur Dubai",Dubai,,04-3277753,052-5943294,https://www.yellowpages-uae.com/uae/restaurant/naadan-adukkala-restaurant-175314.html,
Nabaa Al Sham Pastry,"Opp Al Moski, King Faisal Street, Al Majaz",Sharjah,,06-5732626,050-8400411,https://www.yellowpages-uae.com/uae/restaurant/nabaa-al-sham-pastry-175595.html,
Nabras Refreshments,Khalidiya,Abu Dhabi,,02-6668582,,https://www.yellowpages-uae.com/uae/restaurant/nabras-refreshments-145701.html,
Nahaam,"Jumeirah Al Etihad Towers, Al khubeirah",Abu Dhabi,,02-8115555,,https://www.yellowpages-uae.com/uae/restaurant/nahaam-175711.html,
Nalan Restaurant LLC,"Burjuman Centre, Khalid Bin Al Waleed Road, Bur Dubai",Dubai,,04-3541900,050-7941900,https://www.yellowpages-uae.com/uae/restaurant/nalan-restaurant-llc-178638.html,
Nalas Aappakadai Chettinad Restaurant LLC,,Abu Dhabi,,02-6721500,,https://www.yellowpages-uae.com/uae/restaurant/nalas-aappakadai-chettinad-restaurant-llc-146541.html,
Nasar Restaurant,Old Airport Rd,Abu Dhabi,25634,02-6210482,,https://www.yellowpages-uae.com/uae/restaurant/nasar-restaurant-141299.html,
Nasr Restaurant & Grill,TCA,Abu Dhabi,,02-6444228,,https://www.yellowpages-uae.com/uae/restaurant/nasr-restaurant-grill-145510.html,
National Restaurant,"Near Hilton Hotel, Khorfakkan Rd",Fujairah,718,09-2222753,,https://www.yellowpages-uae.com/uae/restaurant/national-restaurant-121119.html,
Nawab Restaurant,"Al Ain Centre (Computer Plaza), Bur Dubai",Dubai,29877,04-3599884,,https://www.yellowpages-uae.com/uae/restaurant/nawab-restaurant-130832.html,
Neelgiris Vegetarian Restaurant,"Ramla Mall Food Court, DIP",Jebel Ali,30884,04-8847644,,https://www.yellowpages-uae.com/uae/restaurant/neelgiris-vegetarian-restaurant-146563.html,
Nell Gwynns,Dubai Marina,Dubai,,04-4488222,,https://www.yellowpages-uae.com/uae/restaurant/nell-gwynns-175769.html,
Nellara Restaurant LLC,"Al Fattan Bldg, Opp Nihal, Al Qusais",Dubai,,04-2806444,,https://www.yellowpages-uae.com/uae/restaurant/nellara-restaurant-llc-143857.html,
New Bawarchi Restaurant,"Bhnd Raffa Police Stn, Near Golden Fork, Bur Dubai",Dubai,43263,04-3552833,052-6204803,https://www.yellowpages-uae.com/uae/restaurant/new-bawarchi-restaurant-175295.html,
New City Palace Restaurant,Al Falah Street,Abu Dhabi,31912,02-6262762,050-6620323,https://www.yellowpages-uae.com/uae/restaurant/new-city-palace-restaurant-145643.html,
New Damascus Sweets and Restaurant,"Beside Madina S/Market, Al Gurfa",Fujairah,252,09-2222281,,https://www.yellowpages-uae.com/uae/restaurant/new-damascus-sweets-and-restaurant-138104.html,
New Defood Restaurant,"Al Fajar Building, Near Al Hilal Bank, Al Garhoud",Dubai,,04-2502829,055-4053838,https://www.yellowpages-uae.com/uae/restaurant/new-defood-restaurant-175557.html,
New Generation Restaurant,"Near Deira Taxi Stand, Deira",Dubai,56296,04-2242332,,https://www.yellowpages-uae.com/uae/restaurant/new-generation-restaurant-134894.html,
New Luck Restaurant,Al Quoz,Dubai,11059,04-3472101,,https://www.yellowpages-uae.com/uae/restaurant/new-luck-restaurant-144264.html,
New Madras Vegetarian Restaurant,Deira,Dubai,,04-2233885,,https://www.yellowpages-uae.com/uae/restaurant/new-madras-vegetarian-restaurant-106907.html,
New Midnight Cafe Restaurant,"Street 1, Discovery Gardens",Dubai,34685,800-5423789,,https://www.yellowpages-uae.com/uae/restaurant/new-midnight-cafe-restaurant-148002.html,
New Quetta Cafeteria and Restaurant,Main Rd,Al Ain,15283,03-7517716,,https://www.yellowpages-uae.com/uae/restaurant/new-quetta-cafeteria-and-restaurant-131518.html,
New Royal Chef Restaurant,"Bhnd Sahara Centre, Al Nahda 1",Dubai,,04-2527991,052-6418757,https://www.yellowpages-uae.com/uae/restaurant/new-royal-chef-restaurant-175351.html,
New Sagar Restaurant LLC,Mussafah,Abu Dhabi,,02-5531180,,https://www.yellowpages-uae.com/uae/restaurant/new-sagar-restaurant-llc-147966.html,
New Times Restaurant,"Near Clock Tower, Deira",Dubai,14516,04-2501888,,https://www.yellowpages-uae.com/uae/restaurant/new-times-restaurant-152365.html,
New York Pizza,Al Qasba,Sharjah,,06-5566262,,https://www.yellowpages-uae.com/uae/restaurant/new-york-pizza-147579.html,
Nice Burger Restaurant,"Sundos Al Nahda Bldg, NMC Hospital Rd, Al Nahda",Dubai,,04-2582007,055-3582326,https://www.yellowpages-uae.com/uae/restaurant/nice-burger-restaurant-175229.html,
Nihal Restaurant,Electra St,Abu Dhabi,72788,02-6318088,,https://www.yellowpages-uae.com/uae/restaurant/nihal-restaurant-114926.html,
Nila Restaurant,"Near Safeer Mall, Industrial Area 7",Sharjah,29033,06-5300230,,https://www.yellowpages-uae.com/uae/restaurant/nila-restaurant-144081.html,
Ninar Coffee Shop and Restaurant,Khalifa St,Abu Dhabi,38569,02-6722267,,https://www.yellowpages-uae.com/uae/restaurant/ninar-coffee-shop-and-restaurant-118411.html,
Nineteen,Emirates Hills,Dubai,36700,04-3905600,,https://www.yellowpages-uae.com/uae/restaurant/nineteen-122101.html,
Noble Restaurant & Catering Srvcs LLC,,Abu Dhabi,8879,02-5509292,,https://www.yellowpages-uae.com/uae/restaurant/noble-restaurant-catering-srvcs-llc-148667.html,
Nolus Cafe,Al Bandar,Abu Dhabi,,02-5579500,,https://www.yellowpages-uae.com/uae/restaurant/nolus-cafe-175657.html,
Noodle House,Dubai Mall,Dubai,,04-3884825,,https://www.yellowpages-uae.com/uae/restaurant/noodle-house-175770.html,
Noor Al Madina Cafeteria,"Opp Aster, Al Muteena",Dubai,,04-2735318,056-2929570,https://www.yellowpages-uae.com/uae/restaurant/noor-al-madina-cafeteria-175243.html,
Noor Al Mandi Restaurant,"Burj Al Noor Tower, Amman St, Al Nahda 2",Dubai,232852,04-2390700,,https://www.yellowpages-uae.com/uae/restaurant/noor-al-mandi-restaurant-147104.html,
Noor Al Samaa Restaurant,Al Nahda,Sharjah,,06-5265474,,https://www.yellowpages-uae.com/uae/restaurant/noor-al-samaa-restaurant-147669.html,
Noorani Restaurant & Juice Corner & Cafe LLC,"Near Lamcy Plaza, Oud Metha",Dubai,,04-3707706,056-6673379,https://www.yellowpages-uae.com/uae/restaurant/noorani-restaurant-juice-corner-cafe-llc-175501.html,
Notra Food Srvcs,"4th I/Change, Umm Suquem Rd",Dubai,184513,04-3419490,,https://www.yellowpages-uae.com/uae/restaurant/notra-food-srvcs-124718.html,
Nova Restaurant,Corniche Road,Abu Dhabi,,056-4140978,,https://www.yellowpages-uae.com/uae/restaurant/nova-restaurant-168561.html,
Oasis - Hotel Holiday International,"Al Majaz, Buheira Corniche",Sharjah,5802,06-5736666,,https://www.yellowpages-uae.com/uae/restaurant/oasis-hotel-holiday-international-113801.html,
Oasis Courtyard,Bani Yas,Abu Dhabi,,02-6596666,,https://www.yellowpages-uae.com/uae/restaurant/oasis-courtyard-147212.html,
Ogaret Restaurant LLC,"Food Court 2, Jafza",Jebel Ali,212428,04-8870055,,https://www.yellowpages-uae.com/uae/restaurant/ogaret-restaurant-llc-145534.html,
Olives,Al Maqta,Abu Dhabi,,02-4041941,,https://www.yellowpages-uae.com/uae/restaurant/olives-175712.html,
Omar Al Khayyam Restaurant,"Next to Lulu Centre, Rolla",Sharjah,4172,06-5654629,,https://www.yellowpages-uae.com/uae/restaurant/omar-al-khayyam-restaurant-110615.html,
Omar Al Khayyam Restaurant and Cafeteria,Dibba Al Hassan,Fujairah,12103,09-2442343,,https://www.yellowpages-uae.com/uae/restaurant/omar-al-khayyam-restaurant-and-cafeteria-121148.html,
Omar Khayyam Restaurant,"Opp RAK Bank, Saba St",Ras Al Khaimah,1451,07-2332824,,https://www.yellowpages-uae.com/uae/restaurant/omar-khayyam-restaurant-139806.html,
Onam Restaurant,"Near Arabian Travels, Rolla",Sharjah,58,06-5615330,,https://www.yellowpages-uae.com/uae/restaurant/onam-restaurant-129349.html,
Opasta,"Gold Crest Tower, JLT",Dubai,,04-3686332,,https://www.yellowpages-uae.com/uae/restaurant/opasta-147694.html,
Open House Restaurant,Karama,Dubai,53677,04-3965481,,https://www.yellowpages-uae.com/uae/restaurant/open-house-restaurant-120128.html,
Operation Falafel,,Dubai,,600530006,,https://www.yellowpages-uae.com/uae/restaurant/operation-falafel-175546.html,
Options,,Dubai,9668,04-3293293,,https://www.yellowpages-uae.com/uae/restaurant/options-149601.html,
Oregano Restaurant,Garhoud,Dubai,52139,04-2883420,,https://www.yellowpages-uae.com/uae/restaurant/oregano-restaurant-149674.html,
Organic Foods and Cafe,The Greens,Dubai,,04-3382911,,https://www.yellowpages-uae.com/uae/restaurant/organic-foods-and-cafe-175623.html,
Oriental Korner Restaurant,,Abu Dhabi,29674,02-6716782,,https://www.yellowpages-uae.com/uae/restaurant/oriental-korner-restaurant-175645.html,
Origins,"Yas Viceroy, Yas Islands",Abu Dhabi,,02-6560600,,https://www.yellowpages-uae.com/uae/restaurant/origins-175713.html,
Ortegos Grill,"Mankhool Rd, Satwa",Dubai,,04-3425109,,https://www.yellowpages-uae.com/uae/restaurant/ortegos-grill-175338.html,
Osool Cafeteria,Abu Shagara,Sharjah,,06-5556770,055-2591357,https://www.yellowpages-uae.com/uae/restaurant/osool-cafeteria-175344.html,
Ossiano,"Crescent Rd, Palm Jumeirah",Dubai,211188,04-4262626,,https://www.yellowpages-uae.com/uae/restaurant/ossiano-122107.html,
Oushe Gourmet Bakeshop,Barsha,Dubai,,04-3850011,,https://www.yellowpages-uae.com/uae/restaurant/oushe-gourmet-bakeshop-148065.html,
Outback Steakhouse,"Dubai Festival Centre, DIFC",Dubai,,04-2328989,,https://www.yellowpages-uae.com/uae/restaurant/outback-steakhouse-67428.html,
Ovens Bakery,"Amman St, Al Nhada",Dubai,,04-2206050,,https://www.yellowpages-uae.com/uae/restaurant/ovens-bakery-68514.html,
Pachaylen,Al Markaziyah,Abu Dhabi,,02-6561000,,https://www.yellowpages-uae.com/uae/restaurant/pachaylen-175714.html,
Pak Al Safa Restaurant LLC,"Near Marco Polo Hotel, Al Muteena St, Deira",Dubai,40577,04-2727323,056-2355825,https://www.yellowpages-uae.com/uae/restaurant/pak-al-safa-restaurant-llc-175219.html,
Pak Darbar Restaurant,Al Nahda,Dubai,,04-2206050,,https://www.yellowpages-uae.com/uae/restaurant/pak-darbar-restaurant-175211.html,
Pak Khyber Darbar Restaurant,"Al Muteena St, Deira",Dubai,,04-2529552,050-7446786,https://www.yellowpages-uae.com/uae/restaurant/pak-khyber-darbar-restaurant-175242.html,
Pak Rose Restaurant,"Near Allwin Trdg, Deira",Dubai,,04-2650800,,https://www.yellowpages-uae.com/uae/restaurant/pak-rose-restaurant-103504.html,
Pak Sufi Restaurant,"Dmascus St, Al Qusais 1",Dubai,,04-2673600,,https://www.yellowpages-uae.com/uae/restaurant/pak-sufi-restaurant-103510.html,
Pakistan Sweets and Bakers,"Near Al Ibrahimi Restaurant, Al Karama",Dubai,,04-3795040,,https://www.yellowpages-uae.com/uae/restaurant/pakistan-sweets-and-bakers-175262.html,
Palermo,"Club House, Opposite Arabian Ranches",Dubai,,04-3618111,,https://www.yellowpages-uae.com/uae/restaurant/palermo-67429.html,
Palm Grove Restaurant,"Opp Basma Resi, Abu Shagara",Sharjah,,06-5532408,,https://www.yellowpages-uae.com/uae/restaurant/palm-grove-restaurant-130713.html,
Pancake House,Al Wahda,Abu Dhabi,33779,02-6156000,,https://www.yellowpages-uae.com/uae/restaurant/pancake-house-176386.html,
Panoor Restaurant LLC,"Sh Colony, Qusais",Dubai,,04-2613157,,https://www.yellowpages-uae.com/uae/restaurant/panoor-restaurant-llc-68517.html,
Panorama,"Emirates Grand Hotel, sh zayed road",Dubai,,04-3230000,,https://www.yellowpages-uae.com/uae/restaurant/panorama-67756.html,
Pantry Cafe,Wasl Square,Dubai,,04-3883869,,https://www.yellowpages-uae.com/uae/restaurant/pantry-cafe-175772.html,
Papa John's,Dubai Marina,Dubai,27540,04-4309904,,https://www.yellowpages-uae.com/uae/restaurant/papa-john-s-135750.html,
Papparoti,Abu Dhabi Mall,Dubai,,04-3308377,,https://www.yellowpages-uae.com/uae/restaurant/papparoti-67430.html,
Paragon Castle,"Nrar NMC Hospital, Amman Rd, Al Nahda 2",Dubai,,04-2390940,055-4393030,https://www.yellowpages-uae.com/uae/restaurant/paragon-castle-68505.html,
Parco Restaurant,DIP,Jebel Ali,,04-8853955,,https://www.yellowpages-uae.com/uae/restaurant/parco-restaurant-145535.html,
Paris Way Restaurant,"Near Hadiqat Al Madina, DIP",Jebel Ali,,04-8848884,,https://www.yellowpages-uae.com/uae/restaurant/paris-way-restaurant-145644.html,
Park Bar & Grill,Saadiyat Island,Abu Dhabi,,02-4071138,,https://www.yellowpages-uae.com/uae/restaurant/park-bar-grill-175739.html,
Park Darbar Restaurant,"Near Lulu, Muteena Rd, Deira",Dubai,,04-2562888,054-3240286,https://www.yellowpages-uae.com/uae/restaurant/park-darbar-restaurant-175342.html,
Park View Restaurant,"Bhnd Zulekha Hospital, Al Nahda 2",Dubai,,04-2809985,,https://www.yellowpages-uae.com/uae/restaurant/park-view-restaurant-147206.html,
Parkers Cafe,Al Mushrif,Abu Dhabi,,050-6255563,,https://www.yellowpages-uae.com/uae/restaurant/parkers-cafe-175658.html,
Pastry Hayakil Baalabak,Al Nahda,Sharjah,,06-5543111,,https://www.yellowpages-uae.com/uae/restaurant/pastry-hayakil-baalabak-147397.html,
Patan Restaurant,"Opp Veg Market, Near Enoc, Ras Al Khor",Dubai,,04-3206366,,https://www.yellowpages-uae.com/uae/restaurant/patan-restaurant-175327.html,
Paul Cafe,Baniyas,Abu Dhabi,,02-5828300,,https://www.yellowpages-uae.com/uae/restaurant/paul-cafe-175659.html,
Pearl View Restaurant & Cafeteria LLC,"Al Zaroni Bldg, Bhnd Mall of Emirates, Al Barsha",Dubai,,04-3549004,,https://www.yellowpages-uae.com/uae/restaurant/pearl-view-restaurant-cafeteria-llc-146031.html,
Peepees Restaurant,Jebel Ali,Jebel Ali,2316,04-8834838,,https://www.yellowpages-uae.com/uae/restaurant/peepees-restaurant-148018.html,
Peppar - Paragon Group,"Bhnd Mall,",Sharjah,,06-5734647,050-1659597,https://www.yellowpages-uae.com/uae/restaurant/peppar-paragon-group-68559.html,
Pepper Mill,"4th Floor, Block C, Tower Y",Abu Dhabi,33779,02-6156000,,https://www.yellowpages-uae.com/uae/restaurant/pepper-mill-176379.html,
Perfect Biriyani House Restaurant,"Behind Al Ain Tower, Hamdan Street",Abu Dhabi,,02-4489338,056-3796438,https://www.yellowpages-uae.com/uae/restaurant/perfect-biriyani-house-restaurant-175532.html,
Perfect View Restaurant,Al Buteen,Abu Dhabi,46628,02-6359896,,https://www.yellowpages-uae.com/uae/restaurant/perfect-view-restaurant-142201.html,
Peshawari Restaurant,"Near Palm Hotel, Al Muteena St, Deira",Dubai,,04-2562013,054-4335400,https://www.yellowpages-uae.com/uae/restaurant/peshawari-restaurant-175251.html,
Petit Cafe,"Al Ghazal Mall, Satwa",Dubai,31727,04-3458989,,https://www.yellowpages-uae.com/uae/restaurant/petit-cafe-113631.html,
Picnic Restaurant,"Beside Al Diyafah Centre, Satwa R/A",Dubai,12235,04-3444805,,https://www.yellowpages-uae.com/uae/restaurant/picnic-restaurant-116388.html,
Pillars Cafe,"Phoenicia Hotel, Deira",Dubai,,04-2227191,,https://www.yellowpages-uae.com/uae/restaurant/pillars-cafe-175773.html,
Ping Pong Restaurant LLC,,Dubai,,04-3236566,,https://www.yellowpages-uae.com/uae/restaurant/ping-pong-restaurant-llc-102258.html,
Pizza Amore,Al Zahiyah,Abu Dhabi,,02-6449990,,https://www.yellowpages-uae.com/uae/restaurant/pizza-amore-175660.html,
Planet Cafe & Restaurant,Hamdan Str,Abu Dhabi,128354,02-6767962,,https://www.yellowpages-uae.com/uae/restaurant/planet-cafe-restaurant-136286.html,
Ponderosa Steak House,"Hamad Centre, Electra St",Abu Dhabi,42757,02-6393375,,https://www.yellowpages-uae.com/uae/restaurant/ponderosa-steak-house-106897.html,
Ponnusamy Restaurant,Qusais,Dubai,4893,04-2619750,,https://www.yellowpages-uae.com/uae/restaurant/ponnusamy-restaurant-110334.html,
"Pool - Jumeirah Beach Hotel, The",Jumeirah,Dubai,11416,04-4068760,,https://www.yellowpages-uae.com/uae/restaurant/pool-jumeirah-beach-hotel-the-149382.html,
Pranavam Cafeteria,Satwa,Dubai,,04-3312243,,https://www.yellowpages-uae.com/uae/restaurant/pranavam-cafeteria-145702.html,
Pulp Juice Bars,"Bahar Bldg, JBR",Dubai,22700,04-4364192,,https://www.yellowpages-uae.com/uae/restaurant/pulp-juice-bars-146467.html,
Pumpy's Restaurant,"Next to Middle East Bank, Khalid Bin Walid Road, Bur Dubai",Dubai,51745,04-3528484,,https://www.yellowpages-uae.com/uae/restaurant/pumpy-s-restaurant-35883.html,
Punjab Grill,"Venetian Village, Al Maqta",Abu Dhabi,,02-4087201,,https://www.yellowpages-uae.com/uae/restaurant/punjab-grill-175715.html,
Punjab Restaurant,"Al Ghowair Market, Rolla",Sharjah,1338,06-5623835,,https://www.yellowpages-uae.com/uae/restaurant/punjab-restaurant-132028.html,
Puranmal Restaurant,Bur Dubai,Dubai,45068,04-3937701,,https://www.yellowpages-uae.com/uae/restaurant/puranmal-restaurant-145004.html,
Pushkin,"Jumeirah Beach Residence, Dubai Marina",Dubai,,04-4270268,,https://www.yellowpages-uae.com/uae/restaurant/pushkin-67766.html,
Qasr Al Khaleej Restaurant,,Sharjah,,06-5508992,,https://www.yellowpages-uae.com/uae/restaurant/qasr-al-khaleej-restaurant-147324.html,
Qiso Cafe,,Dubai,,04-3212127,,https://www.yellowpages-uae.com/uae/restaurant/qiso-cafe-175334.html,
Quest Restaurants Management,Al Muroor,Abu Dhabi,51579,02-6418300,,https://www.yellowpages-uae.com/uae/restaurant/quest-restaurants-management-163806.html,
Quick Bite Rest LLC,Damascus St,Dubai,84907,04-2637888,,https://www.yellowpages-uae.com/uae/restaurant/quick-bite-rest-llc-130920.html,
Quizno'S Subs,JAFZA,Jebel Ali,13132,04-8872280,,https://www.yellowpages-uae.com/uae/restaurant/quizno-s-subs-151270.html,
